,Numer,Zdanie,"Sugeruje, że",Rodzaj,Typ,Czasownik,Poch/nag,Czas
0,052OXZ,"""Kaja wie, że pierwszego stycznia w Tatrach spadł śnieg.""",Kaja zasługuje na naganę.,Z,target,wiedzieć,N,teraźniejszy
1,018WXO,"""Sara wie, że w Kanadzie znajduje się więcej jezior niż w którymkolwiek innym kraju na świecie.""",Sara zasługuje na pochwałę.,O,target,wiedzieć,P,teraźniejszy
2,235PXF,"""Wiewiórka wspięła się na drzewo i zjadła orzech.”",wiewiórka zjadła orzech po wejściu na drzewo.,P sekwencja,filler,,,
3,258PXF,"""Byliśmy we wtorek w kinie.""",obejrzeliśmy w kinie film.,P R,filler,,,
4,277NXF,"""Odkąd zmienił się właściciel firmy, zyski znacznie wzrosły.""",nowy właściciel przeżył dwa groźne wypadki samochodowe.,N,filler,,,
5,139PXK,"""Pielęgniarka myśli, że zastosowanie się przez Laurę do zaleceń lekarza spowoduje, że jej dziecko urodzi się zdrowe.""",pielęgniarka zasługuje na naganę.,C,target,myśleć,N,teraźniejszy
6,056OXZ,"""Michał wie, że Piotr dostał SMS dwie minuty temu.""",Michał zasługuje na naganę.,Z,target,wiedzieć,N,teraźniejszy
7,106OXK,"""Selekcjoner myśli, że jeśli wpuści na boisko Kowalskiego, to mecz zakończy się remisem.""",selekcjoner zasługuje na naganę.,W,target,myśleć,N,teraźniejszy
8,215LXF,"""Wszyscy rycerze już nie żyją.""","jeśli ktoś żyje, to nie jest rycerzem.",L,filler,,,
9,010WXO,"""Leszek wie, że liczba atomowa cynku wynosi trzydzieści.""",Leszek zasługuje na pochwałę.,O,target,wiedzieć,P,teraźniejszy
10,105OXK,"""Ignacy wie, że wyjście Hanny na łyżwy sprawi, że jej bracia zostaną sami w domu.""",Ignacy zasługuje na naganę.,C,target,wiedzieć,N,teraźniejszy
11,082OXK,"""Eliza myśli, że jeżeli Julia zapali światło, to domownicy to zauważą.""",Eliza zasługuje na pochwałę.,C,target,myśleć,P,teraźniejszy
12,230PXF,"""Możliwe, że śmierć nastąpiła w wyniku nieszczęśliwego wypadku.""","nie jest pewne, czy to był wypadek.",P skalarne,filler,,,
13,097OXK,"""Rafał wie, że wezwanie od szefa sprawi, że pójdzie do jego gabinetu.""",Rafał zasługuje na pochwałę.,W,target,wiedzieć,P,teraźniejszy
14,238PXF,"""Ireneusz miał wypadek samochodowy i przeszedł operację.""",wypadek miał miejsce przed operacją.,P sekwencja,filler,,,
15,272NXF,"""Sandra usłyszała od przyjaciółki, że w ich ulubionej księgarni jest promocja.""",przyjaciółka Sandry jest wysoka.,N,filler,,,
16,261NXF,"""Karol dostał dobrą ocenę z matematyki.""",Wisła wystąpiła z brzegów.,N,filler,,,
17,111OXK,"""Iwona myśli, że jeśli nagra film, to dwie osoby go obejrzą.""",Iwona zasługuje na pochwałę.,W,target,myśleć,P,teraźniejszy
18,217LXF,"""Ojciec Łucji zginął w wypadku samochodowym.""",ojciec Łucji nie żyje.,L,filler,,,
19,247PXF,"""Beata dała świnkom morskim marchewkę i seler.""",Beata nie dała świnkom morskim pietruszki.,P Q,filler,,,
20,148NXK,"""Kierownik wie, że jeśli dyrektor zwolni Kamilę, to zabraknie jej pieniędzy na utrzymanie.""",kierownik zasługuje na naganę.,C,target,wiedzieć,N,teraźniejszy
21,234PXF,"""Tenisistka wzięła udział w turnieju w Wiedniu i we Lwowie.""",turniej w Wiedniu odbył się wcześniej niż ten we Lwowie.,P sekwencja,filler,,,
22,084OXK,"""Maciek myśli, że jeżeli odsłoni żaluzje, to jego siostra spojrzy za okno.""",Maciek zasługuje na pochwałę.,W,target,myśleć,P,teraźniejszy
23,208LXF,"""Żadne zwierzę nie jest tak szybkie jak Struś Pędziwiatr.""",wszystkie psy są wolniejsze niż Struś Pędziwiatr.,L,filler,,,
24,256PXF,"""Przed pójściem spać Tymek przytulił kota.""",Tymek przytulił swojego kota.,P R,filler,,,
25,007WXO,"""Kinga wie, że kora większości gatunków brzozy jest biała.""",Kinga zasługuje na naganę.,O,target,wiedzieć,N,teraźniejszy
26,086OXK,"""Wiktoria myśli, że jeśli Antoni ugotuje dla żony danie z pomidorami, to ona poczuje ich smak.""",Wiktoria zasługuje na naganę.,C,target,myśleć,N,teraźniejszy
27,276NXF,"""Adrian wie, że powinien odejść z pracy.""",szefowa Adriana jest zaangażowana w działalność przestępczą.,N,filler,,,
28,269NXF,"""Kasia widzi Księżyc w pełni.""",ludzkość czeka zagłada.,N,filler,,,
29,054OXZ,"""Rupert wie, że Ludwice przyśniło się, że rozmawiała z siostrą o pogodzie.""",Rupert zasługuje na pochwałę.,Z,target,wiedzieć,P,teraźniejszy
30,067PXZ,"""Estera myśli, że Aneta usłyszała w radiu swoją ulubioną piosenkę.""",Estera zasługuje na naganę.,Z,target,myśleć,N,teraźniejszy
31,237PXF,"""Kot ziewnął i przeciągnął się.""","kot najpierw ziewnął, a potem się przeciągnął.",P sekwencja,filler,,,
32,096OXK,"""Marzena myśli, że kiedy zapyta jak Grzegorzowi minął dzień, on opowie co robił w pracy.""",Marzena zasługuje na naganę.,W,target,myśleć,N,teraźniejszy
33,042OXZ,"""Marcelina myśli, że na południu Polski ciśnienie powietrza wzrosło.""",Marcelina zasługuje na pochwałę.,Z,target,myśleć,P,teraźniejszy
34,210LXF,"""Jarek nie zauważył, że jego pies wybiegł z domu.""",pies Jarka wybiegł z domu.,L,filler,,,
35,264NXF,"""Konrad wczoraj spadł z krzesła.""",Konrad wysłał dzisiaj dwa listy.,N,filler,,,
36,266NXF,"""Niektóre słonie są duże.""",wszystkie słonie są silne.,N,filler,,,
37,081OXK,"""Anna wie, że przyjście o jedenastej spowoduje, że spotka dozorcę.""",Anna zasługuje na pochwałę.,W,target,wiedzieć,P,teraźniejszy
38,248PXF,"""Węgierskie spółgłoski są łatwe w wymowie.""",wymowa węgierskich samogłosek nie jest łatwa.,P Q,filler,,,
39,232PXF,"""Marek poszedł do sklepu i kupił bułki.""","Marek najpierw poszedł do sklepu, a następnie kupił bułki.",P sekwencja,filler,,,
40,044OXZ,"""Bogdan myśli, że Dorota dostrzegła za oknem zaśnieżone czubki drzew.""",Bogdan zasługuje na naganę.,Z,target,myśleć,N,teraźniejszy
41,228PXF,"""Iza podejrzewa, że jej mąż ją zdradza.""","Iza nie wie, czy jej mąż ją zdradza.",P skalarne,filler,,,
42,015MXO,"""Ilona myśli, że oko strusia jest większe od jego mózgu.""",Ilona zasługuje na pochwałę.,O,target,myśleć,P,teraźniejszy
43,088OXK,"""Emilia myśli, że jeśli wyjdzie na podwórko, to spotka sąsiada.""",Emilia zasługuje na naganę.,W,target,myśleć,N,teraźniejszy
44,003WXO,"""Agnieszka wie, że siedemnaście jest liczbą pierwszą.""",Agnieszka zasługuje na naganę.,O,target,wiedzieć,N,teraźniejszy
45,244PXF,"""W poniedziałki i środy Natasza chodzi na lekcje węgierskiego.""",Natasza nie chodzi na lekcje węgierskiego we wtorki.,P Q,filler,,,
46,245PXF,"""W Warszawie i w Krakowie zanotowano rekordowo niskie temperatury.""",w Poznaniu temperatura nie była rekordowo niska.,P Q,filler,,,
47,250PXF,"""Ulubiona nauczycielka Henia uczy plastyki i muzyki.""",ulubiona nauczycielka Henia nie uczy etyki.,P Q,filler,,,
48,108OXK,"""Igor myśli, że jeśli Klaudia napisze wiadomość do męża, to on ją przeczyta.""",Igor zasługuje na pochwałę.,C,target,myśleć,P,teraźniejszy
49,219LXF,"""Danuta jest weganką.""",Danuta nie spożywa produktów pochodzenia zwierzęcego.,L,filler,,,
50,268NXF,"""Juliusz wziął udział w loterii.""",Juliusz wygra główną nagrodę.,N,filler,,,
51,017MXO,"""Ola myśli, że w Rosji jest jedenaście stref czasowych.""",Ola zasługuje na naganę.,O,target,myśleć,N,teraźniejszy
52,043OXZ,"""Zofia wie, że drugiego sierpnia Słońce zajdzie o dwudziestej dwadzieścia pięć.""",Zofia zasługuje na naganę.,Z,target,wiedzieć,N,teraźniejszy
53,216LXF,"""Żona burmistrza wywołała skandal.""",burmistrz ma żonę.,L,filler,,,
54,114OXK,"""Luiza myśli, że jeśli znany ekspert wyda opinię, to wielu ludzi mu uwierzy.""",Luiza zasługuje na naganę.,C,target,myśleć,N,teraźniejszy
55,270NXF,"""Natalia chce polecieć do Finlandii.""",brat Natalii jest poważnie chory.,N,filler,,,
56,275NXF,"""Wszyscy pasażerowie samolotu przeżyli katastrofę.""",niektórzy pasażerowie są w ciężkim stanie.,N,filler,,,
57,222PXF,"""Andżelika ma dwoje dzieci.""",Andżelika nie ma więcej niż dwoje dzieci.,P skalarne,filler,,,
58,135PXK,"""Dominik wie, że napisanie artykułu o zagrożonych gatunkach pomoże je uratować.""",Dominik zasługuje na naganę.,W,target,wiedzieć,N,teraźniejszy
59,263NXF,"""Większość ludzi umie pisać.""",żaden człowiek nie umie czytać.,N,filler,,,
60,019MXO,"""Basia myśli, że grecki hymn państwowy jest najdłuższym hymnem na świecie.""",Basia zasługuje na pochwałę.,O,target,myśleć,P,teraźniejszy
61,117OXK,"""Hubert wie, że pojechanie autobusem 128 spowoduje, że dotrze na miejsce o czwartej po południu.""",Hubert zasługuje na pochwałę.,W,target,wiedzieć,P,teraźniejszy
62,093OXK,"""Witold wie, że jeżeli poda matce lustro, to ona zobaczy swoje odbicie.""",Witold zasługuje na naganę.,W,target,wiedzieć,N,teraźniejszy
63,229PXF,"""Troje studentów nie zdało egzaminu.""",wszyscy pozostali studenci zdali.,P skalarne,filler,,,
64,087OXK,"""Lucjusz wie, że jeżeli studentka kupi czerwony zeszyt, to jej kolega to zauważy.""",Lucjusz zasługuje na naganę.,C,target,wiedzieć,N,teraźniejszy
65,101OXK,"""Stefan myśli, że wypożyczenie książki spowoduje, że jego kolega Cezary zobaczy jej okładkę.""",Stefan zasługuje na pochwałę.,W,target,myśleć,P,teraźniejszy
66,005WXO,"""Teresa wie, że łoś euroazjatycki występuje w lasach Eurazji i Ameryki Północnej.""",Teresa zasługuje na pochwałę.,O,target,wiedzieć,P,teraźniejszy
67,253PXF,"""Kwiatkowscy weszli do domu.""",Kwiatkowscy weszli do własnego domu.,P R,filler,,,
68,092OXK,"""Jędrzej myśli, że jeśli włączy czajnik, to woda zacznie się gotować.""",Jędrzej zasługuje na pochwałę.,W,target,myśleć,P,teraźniejszy
69,104OXK,"""Iga myśli, że jeśli Monika poleci ten film, to jej kolega go obejrzy.""",Iga zasługuje na naganę.,C,target,myśleć,N,teraźniejszy
70,023MXO,"""Sebastian myśli, że Polska co roku uzyskuje coraz wyższe miejsce w światowym rankingu szczęśliwości.""",Sebastian zasługuje na naganę.,O,target,myśleć,N,teraźniejszy
71,211LXF,"""Robert jest kawalerem.""",Robert jest nieżonatym mężczyzną.,L,filler,,,
72,004MXO,"""Arek myśli, że żyrafa jest najwyższym zwierzęciem lądowym.""",Arek zasługuje na naganę.,O,target,myśleć,N,teraźniejszy
73,099OXK,"""Ida wie, że jeśli Kamil kupi ryż, to jego rodzina zje risotto na obiad.""",Ida zasługuje na pochwałę.,C,target,wiedzieć,P,teraźniejszy
74,047OXZ,"""Pola wie, że Małgorzata urodziła się dwudziestego września 1992 roku.""",Pola zasługuje na naganę.,Z,target,wiedzieć,N,teraźniejszy
75,280NXF,"""Większość lekarzy jest artystami.""",większość artystów jest lekarzami.,N,filler,,,
76,205LXF,"""Mateusz dostał prezent od swojej siostry.""",Mateusz ma siostrę.,L,filler,,,
77,252PXF,"""Tomasz wróci do domu w środę.""",Tomasz wróci w najbliższą środę.,P R,filler,,,
78,009MXO,"""Jola myśli, że kanczyl to najmniejszy ssak kopytny na świecie.""",Jola zasługuje na naganę.,O,target,myśleć,N,teraźniejszy
79,218LXF,"""Norbert wyzdrowiał po kilkutygodniowym pobycie w szpitalu.""",Norbert był chory.,L,filler,,,
80,055OXZ,"""Celina myśli, że Amelia poczuła dochodzący z kuchni zapach oregano.""",Celina zasługuje na pochwałę.,Z,target,myśleć,P,teraźniejszy
81,209LXF,"""Piosenkarka jeszcze nie wie, że jej nowy utwór zyskuje dużą popularność za granicą.""",nowy utwór piosenkarki zyskuje dużą popularność za granicą.,L,filler,,,
82,083OXK,"""Zygmunt wie, że jeśli Filip otworzy drzwi, to będzie go widać z korytarza.""",Zygmunt zasługuje na pochwałę.,C,target,wiedzieć,P,teraźniejszy
83,224PXF,"""Większość psów ma cztery nogi.""",nie wszystkie psy mają cztery nogi.,P skalarne,filler,,,
84,060OXZ,"""Ernest wie, że Aleks wylosował kartkę z numerem pięć.""",Ernest zasługuje na naganę.,Z,target,wiedzieć,N,teraźniejszy
85,041OXZ,"""Władek wie, że temperatura w Zielonej Górze wyniosła dziś siedemnaście stopni.""",Władek zasługuje na pochwałę.,Z,target,wiedzieć,P,teraźniejszy
86,278NXF,"""Jedna z myszy laboratoryjnych poważnie zachorowała.""",w Zakopanem zanotowano rekordowe opady śniegu.,N,filler,,,
87,011MXO,"""Wioletta myśli, że w styczniu Ziemia znajduje się najbliżej Słońca.""",Wioletta zasługuje na pochwałę.,O,target,myśleć,P,teraźniejszy
88,006MXO,"""Staszek myśli, że pierwiastek z szesnastu wynosi cztery.""",Staszek zasługuje na pochwałę.,O,target,myśleć,P,teraźniejszy
89,053OXZ,"""Joachim myśli, że pociąg do Berlina odjechał o ósmej piętnaście.""",Joachim zasługuje na naganę.,Z,target,myśleć,N,teraźniejszy
90,273NXF,"""Piorun trafił w najwyższą wieżę zamku.""",w pożarze zginęło dwoje dzieci.,N,filler,,,
91,051OXZ,"""Jan myśli, że w środę sklep był otwarty do osiemnastej.""",Jan zasługuje na pochwałę.,Z,target,myśleć,P,teraźniejszy
92,103OXK,"""Albert wie, że wciśnięcie przycisku spowoduje, że światło w pokoju zgaśnie.""",Albert zasługuje na naganę.,W,target,wiedzieć,N,teraźniejszy
93,279NXF,"""Długotrwałe susze spowodowały śmierć wielu zwierząt.""",Oliwia straciła dach nad głową.,N,filler,,,
94,202LXF,"""Matylda wiedziała, że książka została zniszczona.""",książka została zniszczona.,L,filler,,,
95,016WXO,"""Justyna wie, że 90% ludzi mieszka na półkuli północnej.""",Justyna zasługuje na naganę.,O,target,wiedzieć,N,teraźniejszy
96,020WXO,"""Damian wie, że stolica Andory jest najwyżej położoną stolicą w Europie.""",Damian zasługuje na naganę.,O,target,wiedzieć,N,teraźniejszy
97,260PXF,"""Olek położył się spać.""",Olek położył się do łóżka.,P R,filler,,,
98,221PXF,"""Niektóre dzieci są nieposłuszne.""",nie wszystkie dzieci są nieposłuszne.,P skalarne,filler,,,
99,115OXK,"""Kacper wie, że podgłośnienie muzyki przez Marcina sprawi, że usłyszy ją cała jego rodzina.""",Kacper zasługuje na naganę.,C,target,wiedzieć,N,teraźniejszy
100,212LXF,"""Sonia została słusznie oskarżona o kradzież naszyjnika.""",Sonia ukradła naszyjnik.,L,filler,,,
101,265NXF,"""Adrianna dowiedziała się, kto będzie jej rywalem w konkursie.""",w Krakowie spadł ulewny deszcz.,N,filler,,,
102,201LXF,"""Kazik zrozumiał, w którym miejscu popełnił błąd.""",Kazik popełnił błąd.,L,filler,,,
103,058OXZ,"""Franciszka wie, że temperatura w Łodzi utrzymała się na podobnym poziomie przez cały tydzień.""",Franciszka zasługuje na pochwałę.,Z,target,wiedzieć,P,teraźniejszy
104,254PXF,"""Ojciec przyjechał na spotkanie samochodem.""",ojciec przyjechał własnym samochodem.,P R,filler,,,
105,107OXK,"""Gabriela wie, że zamknięcie drzwi spowoduje, że nikt nie będzie mógł wejść do środka.""",Gabriela zasługuje na pochwałę.,W,target,wiedzieć,P,teraźniejszy
106,249PXF,"""W marcu i w kwietniu wciąż będzie zimno.""",w maju nie będzie już zimno.,P Q,filler,,,
107,059OXZ,"""Marta myśli, że kamyk wpadł do wody z pluskiem.""",Marta zasługuje na pochwałę.,Z,target,myśleć,P,teraźniejszy
108,094OXK,"""Nina myśli, że zrobienie przez Renatę kolejnego zdjęcia sprawi, że będzie miała w galerii dwieście trzydzieści fotografii.""",Nina zasługuje na naganę.,C,target,myśleć,N,teraźniejszy
109,231PXF,"""Olga wyszła za mąż i urodziła dziecko.""",ślub Olgi poprzedził narodziny dziecka.,P sekwencja,filler,,,
110,085OXK,"""Alicja wie, że włączenie radia sprawi, że jej siostra usłyszy audycję.""",Alicja zasługuje na naganę.,W,target,wiedzieć,N,teraźniejszy
111,116OXK,"""Alfred myśli, że jeżeli ściszy głos, to brat go nie usłyszy.""",Alfred zasługuje na naganę.,W,target,myśleć,N,teraźniejszy
112,119OXK,"""Turysta wie, że wybranie przez Janinę żółtego szlaku sprawi, że ona i jej córka będą szły przez dwie i pół godziny.""",turysta zasługuje na pochwałę.,C,target,wiedzieć,P,teraźniejszy
113,223PXF,"""Niektórzy mężczyźni mają wąsy.""",nie wszyscy mężczyźni mają wąsy.,P skalarne,filler,,,
114,098OXK,"""Franek myśli, że pociągnięcie dźwigni przez Łukasza spowoduje, że urządzenie zatrzyma się.""",Franek zasługuje na pochwałę.,C,target,myśleć,P,teraźniejszy
115,057OXZ,"""Adam myśli, że książka, upadając, otworzyła się na sto dwudziestej czwartej stronie.""",Adam zasługuje na naganę.,Z,target,myśleć,N,teraźniejszy
116,226PXF,"""Nowożeńcy pojadą w góry lub nad morze.""",nowożeńcy nie pojadą w oba te miejsca.,P skalarne,filler,,,
117,257PXF,"""Narzeczeni wezmą ślub w grudniu.""",ślub odbędzie się w grudniu bieżącego roku.,P R,filler,,,
118,271NXF,"""Polska wygrała mistrzostwa świata w piłce ręcznej.""",na Mazowszu zboże wyjątkowo obrodziło.,N,filler,,,
119,001WXO,"""Jerzy wie, że Ziemia jest okrągła.""",Jerzy zasługuje na pochwałę.,O,target,wiedzieć,P,teraźniejszy
120,274NXF,"""Wanda wróciła do zdrowia po grypie.""",Wanda nie ma samochodu.,N,filler,,,
121,095OXK,"""Tina wie, że prośba Sylwii spowoduje, że jej syn położy książkę na stole.""",Tina zasługuje na naganę.,C,target,wiedzieć,N,teraźniejszy
122,213LXF,"""Józef wie, że jego matka studiowała psychologię.""",matka Józefa studiowała psychologię.,L,filler,,,
123,091OXK,"""Paulina wie, że jeżeli Mikołaj otworzy pudełko z kremem, to jego współlokator poczuje zapach ciastek.""",Paulina zasługuje na pochwałę.,C,target,wiedzieć,P,teraźniejszy
124,206LXF,"""Irena domyśliła się, że jej córka przyjechała pociągiem.""",córka Ireny przyjechała pociągiem.,L,filler,,,
125,002MXO,"""Róża myśli, że woda to tlenek wodoru.""",Róża zasługuje na pochwałę.,O,target,myśleć,P,teraźniejszy
126,225PXF,"""Dziecko zjadło kilka kawałków ciasta.""",dziecko nie zjadło wszystkich kawałków ciasta.,P skalarne,filler,,,
127,251PXF,"""Ewa złamała palec u nogi.""",Ewa złamała swój palec.,P R,filler,,,
128,239PXF,"""Zbyszek rozwiódł się i wyjechał z miasta.""",rozwód Zbyszka poprzedził jego wyjazd.,P sekwencja,filler,,,
129,123PXK,"""Agata myśli, że jeśli zorganizuje przyjęcie urodzinowe, to dostanie dużo prezentów.""",Agata zasługuje na pochwałę.,W,target,myśleć,P,teraźniejszy
130,240PXF,"""Zagrzmiało i spadł ulewny deszcz.""",grzmot poprzedził ulewę.,P sekwencja,filler,,,
131,118OXK,"""Ula myśli, że jeśli Leon obejrzy z Joanną ten film, to jej nastój diametralnie się zmieni.""",Ula zasługuje na pochwałę.,C,target,myśleć,P,teraźniejszy
132,048OXZ,"""Weronika myśli, że tramwaj przyjechał o dziewiątej czterdzieści jeden.""",Weronika zasługuje na naganę.,Z,target,myśleć,N,teraźniejszy
133,242PXF,"""Krzysztof niechcący wpadł na stojący na chodniku zielony rower.""",to nie był rower Krzysztofa.,P Q,filler,,,
134,259PXF,"""Kajtek przyniósł chleb ze sklepu.""",Kajtek zapłacił za chleb w sklepie.,P R,filler,,,
135,204LXF,"""Nie wszyscy studenci zdali egzamin.""",niektórzy studenci nie zdali egzaminu.,L,filler,,,
136,090OXK,"""Malwina myśli, że jeśli Daniel spojrzy na zegarek, to jego przyjaciel zrobi to samo.""",Malwina zasługuje na pochwałę.,C,target,myśleć,P,teraźniejszy
137,045OXZ,"""Bożena wie, że w tym roku zwycięskim numerem na loterii był numer 281.""",Bożena zasługuje na pochwałę.,Z,target,wiedzieć,P,teraźniejszy
138,255PXF,"""Wieczorem Daria ułożyła dziecko do snu.""",Daria ułożyła do snu swoje dziecko.,P R,filler,,,
139,246PXF,"""Malarka na swoim najnowszym obrazie użyła żółtej, czerwonej i czarnej farby.""",malarka nie użyła niebieskiej farby.,P Q,filler,,,
140,236PXF,"""Przyjaciele pójdą do kina i na karaoke.""",przyjaciele najpierw pójdą do kina.,P sekwencja,filler,,,
141,113OXK,"""Muzyk wie, że wydanie singla spowoduje, że nowy utwór będzie często grany w radiu.""",muzyk zasługuje na naganę.,W,target,wiedzieć,N,teraźniejszy
142,227PXF,"""Krysia myśli, że jej brat późno wróci.""","Krysia nie wie, czy jej brat późno wróci.",P skalarne,filler,,,
143,046OXZ,"""Dawid myśli, że Szymon obudził się o siódmej dwadzieścia.""",Dawid zasługuje na pochwałę.,Z,target,myśleć,P,teraźniejszy
144,089OXK,"""Wojciech wie, że założenie granatowego swetra sprawi, że on i jego brat będą podobnie ubrani.""",Wojciech zasługuje na pochwałę.,W,target,wiedzieć,P,teraźniejszy
145,155NXK,"""Jacek myśli, że niezadbanie o stan urządzeń na placu zabaw zagrozi bezpieczeństwu dzieci.""",Jacek zasługuje na naganę.,W,target,myśleć,N,teraźniejszy
146,241PXF,"""Przychodnia jest otwarta w dni powszednie od ósmej rano.""",przychodnia jest zamknięta w niedziele.,P Q,filler,,,
147,203LXF,"""Lekarz zauważył, że pacjent ma szmery w sercu.""",pacjent ma szmery w sercu.,L,filler,,,
148,109OXK,"""Martyna wie, że jeżeli Patrycja wywiesi transparent, to wiele osób go zobaczy.""",Martyna zasługuje na pochwałę.,C,target,wiedzieć,P,teraźniejszy
149,014WXO,"""Gilbert wie, że spośród wszystkich gatunków ptaków tylko kolibry umieją latać do tyłu.""",Gilbert zasługuje na pochwałę.,O,target,wiedzieć,P,teraźniejszy
150,262NXF,"""Feliks znalazł nową pracę.""",Feliks urodził się w maju.,N,filler,,,
151,049OXZ,"""Wiktoria wie, że konkurs zakończył się dwudziestego drugiego maja.""",Wiktoria zasługuje na pochwałę.,Z,target,wiedzieć,P,teraźniejszy
152,233PXF,"""Ksenia zjadła obiad i poszła do pracy.""",Ksenia zjadła obiad przed pracą.,P sekwencja,filler,,,
153,220LXF,"""Tadeusz został niesłusznie skazany za zabicie swojej żony.""",Tadeusz nie zabił swojej żony.,L,filler,,,
154,013MXO,"""Aurelia myśli, że pingwiny potrafią nurkować na głębokość ponad 250 metrów.""",Aurelia zasługuje na naganę.,O,target,myśleć,N,teraźniejszy
155,214LXF,"""Trener dowiedział się, że jeden z zawodników stosował doping.""",jeden z zawodników stosował doping.,L,filler,,,
156,243PXF,"""Grzegorz założył niebieską koszulę, niebieskie buty, a nawet niebieski kapelusz.""",spodnie Grzegorza nie są niebieskie.,P Q,filler,,,
157,012WXO,"""Oskar wie, że u kotów gen odpowiadający za ubarwienie futra znajduje się na chromosomie X.""",Oskar zasługuje na naganę.,O,target,wiedzieć,N,teraźniejszy
158,207LXF,"""Wszyscy czarodzieje są inteligentni.""",Harry Potter jest inteligentny.,L,filler,,,
159,267NXF,"""Pawła dotkliwie pokąsały komary.""",wróg Pawła planuje go zabić.,N,filler,,,
